iter	Logloss	Logloss:use_weights=true	Logloss:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	Precision:use_weights=true	Precision:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
32	0.1824222444	0.1824222444	0.1750547405	0.9568710359	0.9568710359	0.9221937746	0.9679213003	0.939212429	0.9623644482	0.9380695326	0.9462659381
33	0.1812888583	0.1812888583	0.1735906518	0.9572938689	0.9572938689	0.9222254685	0.967935015	0.9394325125	0.962585034	0.9382809491	0.9465695203
34	0.1805599277	0.1805599277	0.1726397353	0.9577167019	0.9577167019	0.9222571365	0.9679487179	0.9396525048	0.962805526	0.9384923656	0.9468731026
35	0.1790290162	0.1790290162	0.1707096209	0.9577167019	0.9577167019	0.9222571365	0.9679487179	0.9396525048	0.962805526	0.9384923656	0.9468731026
36	0.1780578812	0.1780578812	0.1694163622	0.9577167019	0.9577167019	0.9222571365	0.9679487179	0.9396525048	0.962805526	0.9384923656	0.9468731026
37	0.1770561037	0.1770561037	0.1680875562	0.9577167019	0.9577167019	0.9222571365	0.9679487179	0.9396525048	0.962805526	0.9384923656	0.9468731026
38	0.1755276609	0.1755276609	0.1662477773	0.9577167019	0.9577167019	0.9222571365	0.9679487179	0.9396525048	0.962805526	0.9384923656	0.9468731026
39	0.1749571303	0.1749571303	0.1654946959	0.9572938689	0.9572938689	0.9222254685	0.967935015	0.9394325125	0.962585034	0.9382809491	0.9465695203
40	0.1740986618	0.1740986618	0.1644434835	0.9581395349	0.9581395349	0.9222887788	0.9679624092	0.9398724058	0.9630259244	0.9387037821	0.9471766849
41	0.1728425161	0.1728425161	0.1630078126	0.9585623679	0.9585623679	0.9223203953	0.9679760888	0.9400922156	0.963246229	0.9389151985	0.9474802672
42	0.1726540034	0.1726540034	0.1627078534	0.9585623679	0.9585623679	0.9223203953	0.9679760888	0.9400922156	0.963246229	0.9389151985	0.9474802672
43	0.1719462705	0.1719462705	0.161902414	0.9585623679	0.9585623679	0.9223203953	0.9679760888	0.9400922156	0.963246229	0.9389151985	0.9474802672
44	0.171483557	0.171483557	0.161375963	0.9585623679	0.9585623679	0.9223203953	0.9679760888	0.9400922156	0.963246229	0.9389151985	0.9474802672
45	0.1712572	0.1712572	0.1610467866	0.9585623679	0.9585623679	0.9213661106	0.9675629535	0.9395962567	0.9630416313	0.9383769854	0.9471766849
46	0.1703741422	0.1703741422	0.160094812	0.9594080338	0.9594080338	0.9214299763	0.9675906183	0.9400355768	0.9634819533	0.9387998184	0.9477838494
47	0.169880881	0.169880881	0.1595089573	0.9585623679	0.9585623679	0.9213661106	0.9675629535	0.9395962567	0.9630416313	0.9383769854	0.9471766849
48	0.1694209304	0.1694209304	0.1589810426	0.9585623679	0.9585623679	0.9213661106	0.9675629535	0.9395962567	0.9630416313	0.9383769854	0.9471766849
49	0.1685625959	0.1685625959	0.1579682208	0.9585623679	0.9585623679	0.9213661106	0.9675629535	0.9395962567	0.9630416313	0.9383769854	0.9471766849
50	0.168010973	0.168010973	0.1573906435	0.9585623679	0.9585623679	0.9213661106	0.9675629535	0.9395962567	0.9630416313	0.9383769854	0.9471766849
51	0.1675352313	0.1675352313	0.1569104384	0.9585623679	0.9585623679	0.9213661106	0.9675629535	0.9395962567	0.9630416313	0.9383769854	0.9471766849
52	0.1672213173	0.1672213173	0.1565629218	0.9585623679	0.9585623679	0.9213661106	0.9675629535	0.9395962567	0.9630416313	0.9383769854	0.9471766849
53	0.1665588446	0.1665588446	0.1558026445	0.9594080338	0.9594080338	0.9214299763	0.9675906183	0.9400355768	0.9634819533	0.9387998184	0.9477838494
54	0.1660829324	0.1660829324	0.1553350585	0.9594080338	0.9594080338	0.9214299763	0.9675906183	0.9400355768	0.9634819533	0.9387998184	0.9477838494
55	0.1651489798	0.1651489798	0.1542896625	0.9594080338	0.9594080338	0.9214299763	0.9675906183	0.9400355768	0.9634819533	0.9387998184	0.9477838494
56	0.164980968	0.164980968	0.1540999311	0.9594080338	0.9594080338	0.9214299763	0.9675906183	0.9400355768	0.9634819533	0.9387998184	0.9477838494
57	0.1643680189	0.1643680189	0.1535232229	0.9598308668	0.9598308668	0.9214618702	0.9676044331	0.9402551004	0.9637019741	0.9390112349	0.9480874317
58	0.1639819373	0.1639819373	0.1531689068	0.9598308668	0.9598308668	0.9214618702	0.9676044331	0.9402551004	0.9637019741	0.9390112349	0.9480874317
59	0.1634685412	0.1634685412	0.1526685773	0.9598308668	0.9598308668	0.9214618702	0.9676044331	0.9402551004	0.9637019741	0.9390112349	0.9480874317
60	0.1628691464	0.1628691464	0.1520849296	0.9598308668	0.9598308668	0.9214618702	0.9676044331	0.9402551004	0.9637019741	0.9390112349	0.9480874317
61	0.162170154	0.162170154	0.1514022127	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
62	0.1619723698	0.1619723698	0.1512289794	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
63	0.1612216048	0.1612216048	0.1505270482	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
64	0.1610339585	0.1610339585	0.1503460414	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
65	0.1605384468	0.1605384468	0.1498368659	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
66	0.1602095523	0.1602095523	0.1495068252	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
67	0.1601757935	0.1601757935	0.1494750278	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
68	0.1599093332	0.1599093332	0.1492084275	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
69	0.159872067	0.159872067	0.1491737533	0.9610993658	0.9610993658	0.9215573969	0.9676458067	0.9409131258	0.9643614765	0.9396454843	0.9489981785
70	0.1598440925	0.1598440925	0.1491545668	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
71	0.1592812766	0.1592812766	0.1486142822	0.9606765328	0.9606765328	0.9215255805	0.9676320273	0.9406938748	0.9641417356	0.9394340678	0.9486945962
72	0.1588556462	0.1588556462	0.1482429136	0.9610993658	0.9610993658	0.9206072019	0.9672340426	0.9404176114	0.9641569459	0.9391072712	0.9486945962
73	0.1586563436	0.1586563436	0.1480649835	0.9623678647	0.9623678647	0.9207035515	0.9672758181	0.9410747816	0.9648155998	0.9397415206	0.949605343
74	0.158245315	0.158245315	0.1476336994	0.9623678647	0.9623678647	0.9207035515	0.9672758181	0.9410747816	0.9648155998	0.9397415206	0.949605343
75	0.1577676384	0.1577676384	0.1471532331	0.9623678647	0.9623678647	0.9207035515	0.9672758181	0.9410747816	0.9648155998	0.9397415206	0.949605343
76	0.1574104779	0.1574104779	0.1468290225	0.9623678647	0.9623678647	0.9207035515	0.9672758181	0.9410747816	0.9648155998	0.9397415206	0.949605343
77	0.157216918	0.157216918	0.1466784302	0.9623678647	0.9623678647	0.9207035515	0.9672758181	0.9410747816	0.9648155998	0.9397415206	0.949605343
78	0.1570763002	0.1570763002	0.1465690883	0.9623678647	0.9623678647	0.9207035515	0.9672758181	0.9410747816	0.9648155998	0.9397415206	0.949605343
79	0.1568873264	0.1568873264	0.1463684428	0.9623678647	0.9623678647	0.9207035515	0.9672758181	0.9410747816	0.9648155998	0.9397415206	0.949605343
80	0.1568141318	0.1568141318	0.1463157755	0.9632135307	0.9632135307	0.9207676547	0.9673036093	0.9415124424	0.9652542373	0.9401643536	0.9502125076
81	0.1567774267	0.1567774267	0.1463003591	0.9632135307	0.9632135307	0.9207676547	0.9673036093	0.9415124424	0.9652542373	0.9401643536	0.9502125076
82	0.1567136337	0.1567136337	0.1462480479	0.9632135307	0.9632135307	0.9198211666	0.966893039	0.9410173851	0.9650497776	0.9396261405	0.9499089253
83	0.1565345768	0.1565345768	0.1460731502	0.9632135307	0.9632135307	0.9198211666	0.966893039	0.9410173851	0.9650497776	0.9396261405	0.9499089253
84	0.1562709404	0.1562709404	0.145861196	0.9632135307	0.9632135307	0.9198211666	0.966893039	0.9410173851	0.9650497776	0.9396261405	0.9499089253
85	0.1559000312	0.1559000312	0.1455272766	0.9632135307	0.9632135307	0.9207676547	0.9673036093	0.9415124424	0.9652542373	0.9401643536	0.9502125076
86	0.1554490111	0.1554490111	0.1451221176	0.9632135307	0.9632135307	0.9198211666	0.966893039	0.9410173851	0.9650497776	0.9396261405	0.9499089253
87	0.1552924871	0.1552924871	0.1449881436	0.9632135307	0.9632135307	0.9198211666	0.966893039	0.9410173851	0.9650497776	0.9396261405	0.9499089253
88	0.1547875671	0.1547875671	0.1445316422	0.9636363636	0.9636363636	0.9207996675	0.9673174873	0.9417311371	0.9654734166	0.9403757701	0.9505160899
89	0.1544713178	0.1544713178	0.1442701254	0.9636363636	0.9636363636	0.9198535285	0.9669070853	0.9412360671	0.9652689538	0.9398375569	0.9502125076
90	0.1541590304	0.1541590304	0.1439867004	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
91	0.1537259066	0.1537259066	0.1435734194	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
92	0.1531559951	0.1531559951	0.1430637928	0.9636363636	0.9636363636	0.9198535285	0.9669070853	0.9412360671	0.9652689538	0.9398375569	0.9502125076
93	0.1529111261	0.1529111261	0.1428748493	0.9636363636	0.9636363636	0.9198535285	0.9669070853	0.9412360671	0.9652689538	0.9398375569	0.9502125076
94	0.1525360209	0.1525360209	0.142583326	0.9636363636	0.9636363636	0.9198535285	0.9669070853	0.9412360671	0.9652689538	0.9398375569	0.9502125076
95	0.1521751629	0.1521751629	0.1422810736	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
96	0.1520964884	0.1520964884	0.1422364852	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
97	0.1519417825	0.1519417825	0.1421300265	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
98	0.1519183063	0.1519183063	0.1421340003	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
99	0.1519183054	0.1519183054	0.1421340761	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
100	0.1517524993	0.1517524993	0.1420034132	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
101	0.1516278935	0.1516278935	0.1418914334	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
102	0.1516093143	0.1516093143	0.1418951971	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
103	0.1513637389	0.1513637389	0.1416987879	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
104	0.1513633271	0.1513633271	0.1417110811	0.9640591966	0.9640591966	0.9198858643	0.9669211196	0.9414546588	0.9654880373	0.9400489734	0.9505160899
105	0.1512343266	0.1512343266	0.1416186502	0.9644820296	0.9644820296	0.919918174	0.966935142	0.9416731603	0.9657070279	0.9402603899	0.9508196721
106	0.1512303235	0.1512303235	0.141638161	0.9644820296	0.9644820296	0.919918174	0.966935142	0.9416731603	0.9657070279	0.9402603899	0.9508196721
107	0.1510765508	0.1510765508	0.1415151554	0.9644820296	0.9644820296	0.919918174	0.966935142	0.9416731603	0.9657070279	0.9402603899	0.9508196721
108	0.1509263293	0.1509263293	0.1413991618	0.9644820296	0.9644820296	0.9208636155	0.9673452078	0.9421682556	0.9659114969	0.9407986031	0.9511232544
109	0.150903214	0.150903214	0.1414005863	0.9644820296	0.9644820296	0.9208636155	0.9673452078	0.9421682556	0.9659114969	0.9407986031	0.9511232544
110	0.1509028309	0.1509028309	0.1414163838	0.9644820296	0.9644820296	0.9208636155	0.9673452078	0.9421682556	0.9659114969	0.9407986031	0.9511232544
111	0.1507367927	0.1507367927	0.1412629826	0.9644820296	0.9644820296	0.9208636155	0.9673452078	0.9421682556	0.9659114969	0.9407986031	0.9511232544
112	0.150660574	0.150660574	0.1412053306	0.9644820296	0.9644820296	0.9208636155	0.9673452078	0.9421682556	0.9659114969	0.9407986031	0.9511232544
113	0.1505521742	0.1505521742	0.1411017217	0.9644820296	0.9644820296	0.9208636155	0.9673452078	0.9421682556	0.9659114969	0.9407986031	0.9511232544
114	0.1503260035	0.1503260035	0.1409026322	0.9644820296	0.9644820296	0.9218110024	0.9677556216	0.9426638718	0.9661160525	0.9413368162	0.9514268367
115	0.1500052838	0.1500052838	0.1406458897	0.9644820296	0.9644820296	0.9218110024	0.9677556216	0.9426638718	0.9661160525	0.9413368162	0.9514268367
116	0.1495839461	0.1495839461	0.1402127327	0.9649048626	0.9649048626	0.9218425878	0.967769296	0.9428823082	0.9663349566	0.9415482327	0.9517304189
117	0.1495030059	0.1495030059	0.1401784923	0.9649048626	0.9649048626	0.9237425174	0.9685908319	0.9438751312	0.9667443338	0.942624659	0.9523375835
118	0.1493125759	0.1493125759	0.1399854119	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
119	0.1491372042	0.1491372042	0.1398646885	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
120	0.1487770506	0.1487770506	0.1395740979	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
121	0.1484925508	0.1484925508	0.139297005	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
122	0.1483781341	0.1483781341	0.139197248	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
123	0.1481415472	0.1481415472	0.1390184905	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
124	0.1477443065	0.1477443065	0.1386808841	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
125	0.1475231288	0.1475231288	0.1384933562	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
126	0.1472716678	0.1472716678	0.1382869534	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
127	0.1469975689	0.1469975689	0.1380499565	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
128	0.1468326474	0.1468326474	0.1379367261	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
129	0.1468233149	0.1468233149	0.1379532563	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
130	0.1468110033	0.1468110033	0.1379636608	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
131	0.1467953945	0.1467953945	0.1379721899	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
132	0.1467921137	0.1467921137	0.1379899557	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
133	0.1465660534	0.1465660534	0.1378209249	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
134	0.146566012	0.146566012	0.1378237406	0.9649048626	0.9649048626	0.9227915747	0.9681798897	0.9433784585	0.9665396019	0.9420864458	0.9520340012
135	0.1463213416	0.1463213416	0.137615078	0.9653276956	0.9653276956	0.9228227835	0.9681933842	0.943596817	0.9667584163	0.9422978623	0.9523375835
136	0.1462543167	0.1462543167	0.1375832006	0.9653276956	0.9653276956	0.9228227835	0.9681933842	0.943596817	0.9667584163	0.9422978623	0.9523375835
137	0.1460259049	0.1460259049	0.1374182096	0.9653276956	0.9653276956	0.9228227835	0.9681933842	0.943596817	0.9667584163	0.9422978623	0.9523375835
138	0.1458604233	0.1458604233	0.1372900837	0.9653276956	0.9653276956	0.9228227835	0.9681933842	0.943596817	0.9667584163	0.9422978623	0.9523375835
139	0.1458427767	0.1458427767	0.1372922927	0.9653276956	0.9653276956	0.9228227835	0.9681933842	0.943596817	0.9667584163	0.9422978623	0.9523375835
140	0.14564692	0.14564692	0.1370953113	0.9657505285	0.9657505285	0.9228539671	0.9682068673	0.9438150852	0.966977138	0.9425092788	0.9526411658
141	0.1454541092	0.1454541092	0.1369242723	0.9665961945	0.9665961945	0.9229162587	0.9682337992	0.9442513512	0.9674143039	0.9429321118	0.9532483303
142	0.1453239723	0.1453239723	0.136823453	0.9678646934	0.9678646934	0.9230095077	0.9682741117	0.9449050748	0.9680693593	0.9435663612	0.9541590771
143	0.1449952999	0.1449952999	0.1365524892	0.9678646934	0.9678646934	0.9230095077	0.9682741117	0.9449050748	0.9680693593	0.9435663612	0.9541590771
144	0.1446763578	0.1446763578	0.1363076253	0.9678646934	0.9678646934	0.9230095077	0.9682741117	0.9449050748	0.9680693593	0.9435663612	0.9541590771
145	0.1442300364	0.1442300364	0.1359113386	0.9674418605	0.9674418605	0.9229784498	0.9682606856	0.9446872569	0.9678510998	0.9433549447	0.9538554948
146	0.1439552945	0.1439552945	0.1356984745	0.9674418605	0.9674418605	0.9229784498	0.9682606856	0.9446872569	0.9678510998	0.9433549447	0.9538554948
147	0.1435295154	0.1435295154	0.1352853917	0.9674418605	0.9674418605	0.9229784498	0.9682606856	0.9446872569	0.9678510998	0.9433549447	0.9538554948
148	0.1433254709	0.1433254709	0.1351005276	0.9674418605	0.9674418605	0.9239272806	0.9686706181	0.9451840023	0.9680558494	0.9438931579	0.9541590771
149	0.1429514499	0.1429514499	0.1348078661	0.9674418605	0.9674418605	0.9239272806	0.9686706181	0.9451840023	0.9680558494	0.9438931579	0.9541590771
150	0.1427414799	0.1427414799	0.1346450259	0.9678646934	0.9678646934	0.9239579875	0.9686838764	0.9454018321	0.9682741117	0.9441045744	0.9544626594
151	0.1426310497	0.1426310497	0.1345455348	0.9678646934	0.9678646934	0.9239579875	0.9686838764	0.9454018321	0.9682741117	0.9441045744	0.9544626594
152	0.1422894282	0.1422894282	0.1342704178	0.9687103594	0.9687103594	0.9230715485	0.9683009298	0.945340441	0.9685056014	0.9439891942	0.9547662417
153	0.1421530124	0.1421530124	0.1341821531	0.9687103594	0.9687103594	0.9230715485	0.9683009298	0.945340441	0.9685056014	0.9439891942	0.9547662417
154	0.1416531711	0.1416531711	0.1337544261	0.9691331924	0.9691331924	0.9240499595	0.9687235841	0.9460547822	0.968928345	0.9447388238	0.9553734062
155	0.1416016684	0.1416016684	0.1337326246	0.9691331924	0.9691331924	0.9240499595	0.9687235841	0.9460547822	0.968928345	0.9447388238	0.9553734062
156	0.1412430659	0.1412430659	0.1333893879	0.9695560254	0.9695560254	0.9240805674	0.9687367976	0.9462722525	0.9691462384	0.9449502403	0.9556769885
157	0.1412340586	0.1412340586	0.1334033098	0.9695560254	0.9695560254	0.9240805674	0.9687367976	0.9462722525	0.9691462384	0.9449502403	0.9556769885
158	0.1409860478	0.1409860478	0.1332140704	0.9695560254	0.9695560254	0.9250295907	0.9691462384	0.9467695793	0.9693510886	0.9454884535	0.9559805707
159	0.1407177316	0.1407177316	0.1329767519	0.9695560254	0.9695560254	0.9250295907	0.9691462384	0.9467695793	0.9693510886	0.9454884535	0.9559805707
160	0.1406436087	0.1406436087	0.1329252914	0.9695560254	0.9695560254	0.9250295907	0.9691462384	0.9467695793	0.9693510886	0.9454884535	0.9559805707
161	0.1404426604	0.1404426604	0.1327610177	0.9695560254	0.9695560254	0.9259805652	0.9695560254	0.947267429	0.9695560254	0.9460266666	0.956284153
162	0.1399912583	0.1399912583	0.1323350412	0.9695560254	0.9695560254	0.9259805652	0.9695560254	0.947267429	0.9695560254	0.9460266666	0.956284153
163	0.1396832154	0.1396832154	0.1320581325	0.9695560254	0.9695560254	0.9259805652	0.9695560254	0.947267429	0.9695560254	0.9460266666	0.956284153
164	0.1395157928	0.1395157928	0.1319278153	0.9699788584	0.9699788584	0.9260104444	0.9695688926	0.9474848327	0.9697738322	0.9462380831	0.9565877353
165	0.1394591391	0.1394591391	0.1319001415	0.9699788584	0.9699788584	0.9260104444	0.9695688926	0.9474848327	0.9697738322	0.9462380831	0.9565877353
166	0.1392033595	0.1392033595	0.131689898	0.9699788584	0.9699788584	0.9260104444	0.9695688926	0.9474848327	0.9697738322	0.9462380831	0.9565877353
167	0.1387704186	0.1387704186	0.1312831774	0.9704016913	0.9704016913	0.9260402994	0.969581749	0.9477021466	0.9699915469	0.9464494996	0.9568913175
168	0.1383738913	0.1383738913	0.1309660728	0.9704016913	0.9704016913	0.9260402994	0.969581749	0.9477021466	0.9699915469	0.9464494996	0.9568913175
169	0.1381275154	0.1381275154	0.1307670257	0.9699788584	0.9699788584	0.9260104444	0.9695688926	0.9474848327	0.9697738322	0.9462380831	0.9565877353
170	0.1380618121	0.1380618121	0.1307152462	0.9699788584	0.9699788584	0.9260104444	0.9695688926	0.9474848327	0.9697738322	0.9462380831	0.9565877353
171	0.1379551544	0.1379551544	0.1306165782	0.9699788584	0.9699788584	0.9260104444	0.9695688926	0.9474848327	0.9697738322	0.9462380831	0.9565877353
172	0.1379447923	0.1379447923	0.1306239136	0.9699788584	0.9699788584	0.9260104444	0.9695688926	0.9474848327	0.9697738322	0.9462380831	0.9565877353
173	0.1376641427	0.1376641427	0.1303995981	0.9704016913	0.9704016913	0.9260402994	0.969581749	0.9477021466	0.9699915469	0.9464494996	0.9568913175
174	0.1371347246	0.1371347246	0.1298603906	0.9699788584	0.9699788584	0.9260104444	0.9695688926	0.9474848327	0.9697738322	0.9462380831	0.9565877353
